telehaii0102,2013-10-08,12:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านถาวร,3.2,8.082140,100.165000,80,นครศรีธรรมราช,เชียรใหญ่,การะเกด,"5 ",ภาคใต้,มม.,,,,21,2107
telehaii0392,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ท่าแพ,3.2,14.759600,98.576900,71,กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,"2 ",ภาคกลาง,มม.,,,,14,1409
telehaii0417,2013-10-08,07:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านจะโปร่ง,3.2,13.182500,99.680400,76,เพชรบุรี,หนองหญ้าปล้อง,หนองหญ้าปล้อง,"2 ",ภาคกลาง,มม.,,,,19,1903
telehaii0109,2013-10-08,08:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ท่างาม,3,14.048200,101.402000,25,ปราจีนบุรี,ประจันตคาม,ประจันตคาม,"2 ",ภาคกลาง,มม.,,,,15,1505
telehaii0748,2013-10-08,00:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนประแส,3,12.725800,101.695000,21,ระยอง,แกลง,ปากน้ำกระแส,"2 ",ภาคกลาง,มม.,,,,99,9999
telehaii0102,2013-10-08,03:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านถาวร,3,8.082140,100.165000,80,นครศรีธรรมราช,เชียรใหญ่,การะเกด,"5 ",ภาคใต้,มม.,,,,21,2107
telehaii0435,2013-10-08,05:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านหินช้าง,2.8,10.069700,98.646000,85,ระนอง,เมืองระนอง,ปากน้ำ,"5 ",ภาคใต้,มม.,,,,25,2501
telehaii0432,2013-10-08,11:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",โรงพยาบาลระนอง,2.8,9.957300,98.648800,85,ระนอง,เมืองระนอง,บางริ้น,"5 ",ภาคใต้,มม.,,,,25,2503
telehaii0070,2013-10-08,03:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ห้วยคต,2.8,15.295400,99.621700,61,อุทัยธานี,ห้วยคต,ห้วยคต,"2 ",ภาคกลาง,มม.,,,,13,1303
telehaii0417,2013-10-08,06:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านจะโปร่ง,2.6,13.182500,99.680400,76,เพชรบุรี,หนองหญ้าปล้อง,หนองหญ้าปล้อง,"2 ",ภาคกลาง,มม.,,,,19,1903
telehaii0744,2013-10-08,08:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,2.6,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0744,2013-10-08,07:30:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,2.6,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0279,2013-10-08,00:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านเสาเดี่ยว,2.6,14.823200,102.104000,30,นครราชสีมา,โชคชัย,ท่าอ่าง,"4 ",ภาคตะวันออกเฉียงเหนือ,มม.,,,,05,0504
